순서,시간,종료 예정 시간,장소,내용,세부 내용,"담당자 
(프로그램 팀원 명)","필요 도우미 수 
(도우미 배정은 대표단에서 일괄 진행, 특별히 희망하는 도우미는 밑에 추가 내용에 작성해주세요!)","도우미 역할 
(최대한 구체적으로)"
1,20:00,21:00,,만들기 동아리 테스트,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,,
2,21:00,22:00,,동아리 세팅,준비물 배치,동아리 팀,,
3,08:00,09:00,,동아리 점검,준비물 점검 및 준비 완료,,,
4,10:00,10:20,대강당,이동,"배정된 동아리 장소로 이동
8호관, 농구장 가야하는 인원은 먼저 나갈 수 있도록 할 것",,2명,- 
5,10:20,12:00,대강당,합창 동아리,"- 아이스브레이킹
- 합창
- 단체사진",장정현,김찬중,배정 후 공지 예정
,,,대강당 옆 의자,러닝동아리,"- 6명씩 5개 팀 선정(남녀비율 최대한 맞추기)
- 마니또와 미션 뽑기
- 러닝
- 단체사진 촬영
- 팀별로 마니또 확인",문은지,2,"- 러닝 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,대강당 로비,탁구 동아리,"*이동시 가장 마지막에 나갈 수 있도록
- 아이스브레이킹
- 준비운동 실시 
- 경기진행 (복식, 단식)
- MVP 선정, 단체사진",문은지,2,"- 틱구 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,인조 잔디구장,축구 동아리,"- 오는 순서대로 색 조끼로 팀 배정 
- 준비운동 실시
- 경기 진행
- 1등팀 선정, 동아리 단체 사진",장정현,4,"- 축구 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,풋살장,풋살 동아리,"- 오는 순서대로 색 조끼로 팀 배정 
- 준비운동 실시
- 경기 진행
- 1등팀 선정, 동아리 단체 사진",장정현,2,"- 풋살 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,농구장,농구 동아리,"*디보셔널 착석시 뒤에 따로 앉을 예정, 차량을 통해 이동
- 키 순서대로 나눠서 팀 배정
- 준비운동 실시 
- 경기 진행
- 1등팀 선정, 동아리 단체 사진",장정현,2,"- 농구 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,배드민턴장(B2),배드민턴 동아리,"- 아이스브레이킹
- 준비운동 실시 
- 경기진행 (복식, 단식)
- MVP 선정, 단체사진",문은지,2,"- 배드민턴 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,태권도장(B1),요가동아리,"- 아이스브레이킹
- 스트레칭
- 요가
- 단체사진",이채은,2,"- 요가 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,11-201,연애심리 동아리,"- 팀 나누기 
- 아이스브레이킹
- 조별 토론
- 데이트 코스 짜보기
- 단체사진",한지연,2,"- 연애심리 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,11-302,그림 동아리,"- 아이스브레이킹
- 팀 나누기 
- 도구 배부 
- 컨셉 정하기
- 그림 그리기
- 리뷰하기
- 단체사진",김도현,2,"- 그림 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,11-306-2,독서 동아리,"- 아이스브레이킹
- 독서
- 퀴즈
- 토론
- 단체사진",이용재,2,"- 독서 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,11-401,모바일 게임 동아리,"- 아이스브레이킹
- 게임 선정
- 팀 나누기
- 게임 진행
- MVP 선정, 단체사진",이용재,2,"- 모바일 게임 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,11-405,댄스 동아리,"- 아이스브레이킹
- 스트레칭
- 댄스
- 영상촬영&단체사진",이채은,2,"- 댄스 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,11-602,보드게임 동아리,"- 팀 나누기 (과자로 팀 선정)
- 아이스브레이킹
- 보드게임
- 팀 나누기 2 (원하는 보드게임)
- 아이스브레이킹
- 보드게임
- 단체사진",한지연,2,"- 보드게임 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,8호관 2층 8213,사진 동아리,"- 아이스브레이킹
- 팀 나누기 
- 컨셉 정하기
- 사진 촬영
- 리뷰하기
- 단체사진",김도현,2,"- 사진 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,11-502,만들기 동아리,"- 팀 나누기 
- 아이스브레이킹
- 향수만들기
- 단체사진",김도현,2,"- 만들기 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,헬스장,헬스 동아리,"- 아이스브레이킹
- 준비운동 
- 기구배우기..?
- 헬스
- 단체 사진",이채은,2,"- 헬스 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,,,8호관 B1 8003,영화 동아리,"*디보셔널 착석시 뒤에 따로 앉을 예정, 셔틀 이용
- 조별로 아이스브레이킹
- 영상 시청
- 생각 나누기 
- 단체사진",이용재,2,"- 영화 동아리 진행(배정 후 공지 예정)
- 뒷정리와 물품 수거 "
,12:00,01:00,모든 동아리,,"담당 운영위들이 뒷정리, 사용하고 남은 물품 수거!
쓰레기들은 각 층의 쓰레기통을 활용할 수 있도록 하는 것이 편함",동아리팀,,
